0	0
0.010101	0.23908
0.020202	0.422759
0.030303	0.56331
0.040404	0.6707
0.0505051	0.75295
0.0606061	0.816438
0.0707071	0.86617
0.0808081	0.906012
0.0909091	0.938895
0.10101	0.966994
0.111111	0.99187
0.121212	1.01461
0.131313	1.03591
0.141414	1.05621
0.151515	1.07573
0.161616	1.09454
0.171717	1.1126
0.181818	1.12984
0.191919	1.14614
0.20202	1.16139
0.212121	1.17547
0.222222	1.18829
0.232323	1.1998
0.242424	1.20996
0.252525	1.21877
0.262626	1.22625
0.272727	1.23247
0.282828	1.23749
0.292929	1.24142
0.30303	1.24435
0.313131	1.24639
0.323232	1.24765
0.333333	1.24825
0.343434	1.24828
0.353535	1.24783
0.363636	1.24699
0.373737	1.24582
0.383838	1.24435
0.393939	1.24264
0.40404	1.24068
0.414141	1.23849
0.424242	1.23605
0.434343	1.23333
0.444444	1.2303
0.454545	1.22691
0.464646	1.22311
0.474747	1.21886
0.484848	1.21409
0.494949	1.20877
0.505051	1.20283
0.515152	1.19623
0.525253	1.18895
0.535354	1.18096
0.545455	1.17223
0.555556	1.16277
0.565657	1.15257
0.575758	1.14164
0.585859	1.13
0.59596	1.11769
0.606061	1.10472
0.616162	1.09114
0.626263	1.07699
0.636364	1.06229
0.646465	1.04708
0.656566	1.03139
0.666667	1.01524
0.676768	0.998644
0.686869	0.981593
0.69697	0.964078
0.707071	0.946072
0.717172	0.927537
0.727273	0.90842
0.737374	0.888654
0.747475	0.868166
0.757576	0.84687
0.767677	0.824677
0.777778	0.801496
0.787879	0.777239
0.79798	0.751823
0.808081	0.72518
0.818182	0.697256
0.828283	0.668019
0.838384	0.637463
0.848485	0.60561
0.858586	0.572511
0.868687	0.538248
0.878788	0.50293
0.888889	0.466686
0.89899	0.429653
0.909091	0.391965
0.919192	0.353727
0.929293	0.314988
0.939394	0.275702
0.949495	0.235682
0.959596	0.194541
0.969697	0.151614
0.979798	0.10588
0.989899	0.0558488
1	-0.000561588
